function,dim,budget,runs,abcng_median_final,abcng_mean_final,abcng_std_final,abcng_median_time_s,abc_median_final,abc_mean_final,abc_std_final,abc_median_time_s,abcng_conv_plot,abcng_k_plot,compare_conv_plot
sphere,30,15000,10,1.6882750529831224e-28,1.469277650718085e-27,2.502772975398659e-27,1.308683156967163,715.3483464338865,717.6454176834825,122.56562069761473,0.8909374475479126,figs\conv_sphere.png,figs\kdyn_sphere.png,figs\conv_compare_sphere.png
rastrigin,30,15000,10,58.70239712284304,65.86603150765987,44.96880919519249,1.3157594203948975,257.5295883745413,255.16925406540827,13.187937787777516,0.9424933195114136,figs\conv_rastrigin.png,figs\kdyn_rastrigin.png,figs\conv_compare_rastrigin.png
rosenbrock,30,15000,10,24.111855469914225,24.14601680931101,0.12614866293270133,1.5171300172805786,1411956.0833617076,1622132.6050683386,805625.4169647064,0.9706889390945435,figs\conv_rosenbrock.png,figs\kdyn_rosenbrock.png,figs\conv_compare_rosenbrock.png
ackley,30,15000,10,2.1760371282653068e-14,2.1760371282653068e-14,1.0539051923921737e-14,1.2828360795974731,8.46895551268856,8.342101677030385,0.6141195250451391,1.0842721462249756,figs\conv_ackley.png,figs\kdyn_ackley.png,figs\conv_compare_ackley.png
